Alpha, X_Acc, Y_Acc, Z_Acc, X_Gyro, Y_Gyro, Z_Gyro
C,-0.26,0.17,0.60,9.52,-9.09,93.38
C,-0.27,0.20,0.54,13.92,-15.62,92.29
C,-0.24,0.25,0.60,15.44,-28.08,92.04
C,-0.21,0.24,0.51,0.85,-29.60,89.29
C,-0.18,0.29,0.57,4.15,-44.01,97.53
C,-0.18,0.57,0.69,0.61,-56.15,103.33
C,-0.17,0.51,0.72,-14.10,-62.07,77.70
C,-0.18,0.49,0.65,-16.66,-63.05,67.08
C,-0.17,0.58,0.74,-5.62,-74.22,62.13
C,-0.09,0.75,0.93,-14.59,-77.21,50.29
C,-0.03,0.78,0.87,-29.42,-69.76,28.32
C,-0.11,0.63,0.93,-28.93,-71.04,0.61
C,-0.07,0.72,1.09,-26.06,-70.80,-20.02
C,0.02,0.70,1.00,-43.27,-60.18,-41.32
C,-0.05,0.66,0.97,-59.75,-57.13,-62.68
C,-0.07,0.70,1.29,-54.81,-58.11,-102.36
C,-0.02,0.63,1.13,-67.38,-33.33,-148.25
C,0.15,-0.20,1.00,-57.74,-21.85,-185.24
C,0.04,-0.39,0.99,-62.81,-21.48,-145.87
C,0.02,-0.36,0.99,-70.43,-25.27,-102.36
C,0.08,-0.46,1.05,-38.76,-27.77,-83.56
C,0.11,-0.50,1.03,-19.90,-24.96,-65.37
C,0.08,-0.42,1.11,-23.13,-15.62,-25.70
C,0.08,-0.26,1.04,-14.34,-9.40,-10.38
C,0.07,-0.19,1.10,-4.88,-7.14,-5.86
C,0.03,-0.08,1.02,-4.70,-2.87,-0.31
C,0.02,-0.12,0.99,-1.22,-3.05,-2.32
C,0.03,-0.05,0.93,-0.06,-0.98,3.42
C,0.03,0.04,0.99,2.99,-5.13,5.25
C,0.02,0.02,1.03,3.85,-4.76,-0.06
C,0.04,-0.03,0.89,1.53,-1.53,-2.81
C,0.04,-0.07,1.01,3.11,-8.79,-2.62
C,0.02,-0.01,1.00,2.50,-7.26,2.14
C,0.01,0.02,0.99,1.16,-1.59,-2.20
C,0.02,-0.01,0.94,2.26,0.43,-3.60
C,0.05,-0.09,1.01,3.36,-5.19,-6.47
C,0.08,-0.09,1.03,7.14,-0.55,-1.04
C,0.11,-0.08,1.07,7.87,7.32,-0.12
C,0.20,-0.10,1.20,17.82,27.28,0.61
C,0.25,-0.17,1.29,26.00,27.95,7.32
C,0.22,-0.07,1.58,23.13,42.72,3.85
C,0.05,0.12,1.37,10.74,94.91,-4.70
C,-0.13,0.19,1.22,-1.95,114.01,-31.74
C,-0.20,0.11,0.77,0.24,111.82,-58.72
C,-0.35,0.08,1.07,5.13,76.17,-52.12
C,-0.40,0.02,0.73,5.80,106.99,-70.80
C,-0.51,0.08,0.81,13.55,69.58,-41.26
C,-0.53,-0.05,0.61,13.00,70.62,-53.96
C,-0.51,-0.18,0.75,8.85,49.56,-35.34
C,-0.57,-0.09,0.75,0.18,47.73,-20.39
C,-0.58,-0.12,0.73,2.81,49.32,-19.71
C,-0.59,-0.12,0.60,11.60,41.69,-22.34
C,-0.60,-0.13,0.63,20.14,35.89,-19.29
C,-0.55,-0.09,0.72,12.57,12.70,-14.22
C,-0.62,-0.01,0.82,5.86,4.21,-10.50
C,-0.54,-0.09,0.75,19.47,14.34,-22.22
C,-0.50,-0.22,0.59,12.02,21.24,-17.15
C,-0.42,-0.39,0.68,0.49,-12.39,1.71
C,-0.42,-0.30,0.90,-1.16,-28.93,25.39
C,-0.37,-0.10,0.83,3.23,-7.45,33.33
C,-0.22,-0.37,0.89,9.64,-7.93,43.52
C,-0.20,-0.36,0.98,1.40,-13.43,69.70
C,-0.20,-0.10,0.80,10.56,4.03,106.99
C,-0.18,0.03,0.81,20.45,2.99,118.35
C,-0.17,0.04,0.90,7.63,-19.71,119.32
C,-0.18,0.21,0.77,6.71,-2.01,140.87
C,-0.21,0.50,0.54,1.71,-1.40,138.31
C,-0.27,0.35,0.72,6.47,-31.92,103.21
C,-0.26,0.36,0.60,13.73,-20.02,107.73
C,-0.22,0.34,0.41,-0.67,-40.77,106.57
C,-0.22,0.61,0.69,-0.06,-59.81,97.11
C,-0.22,0.64,0.65,3.78,-55.97,75.50
C,-0.15,0.56,0.79,-11.05,-70.19,47.36
C,-0.16,0.36,0.80,-23.80,-68.54,37.72
C,-0.13,0.39,0.80,-24.60,-67.20,37.17
C,-0.06,0.50,0.96,-23.25,-71.66,33.14
C,-0.00,0.42,0.73,-32.71,-70.31,11.90
C,-0.08,0.33,0.90,-37.11,-87.22,6.84
C,-0.04,0.71,1.14,-27.47,-76.05,-2.14
C,0.08,0.53,0.97,-35.46,-60.73,-33.08
C,0.06,0.33,0.95,-38.94,-62.93,-40.22
C,0.01,0.58,1.16,-46.69,-69.58,-45.59
C,0.06,0.50,1.14,-58.53,-55.66,-68.36
C,0.14,0.72,1.09,-81.60,-44.92,-103.21
C,0.08,0.11,0.97,-73.24,-23.86,-160.58
C,0.03,-0.18,0.90,-53.65,-20.57,-155.58
C,0.11,-0.54,0.91,-84.84,-28.81,-124.27
C,0.23,-0.69,1.16,-65.92,-37.11,-94.48
C,0.29,-0.61,1.38,-7.20,-22.09,-54.44
C,0.22,-0.53,1.29,-13.85,-1.10,-25.02
C,0.14,-0.33,1.05,-10.19,4.33,-6.23
C,0.10,-0.14,1.00,3.11,3.60,3.54
C,0.07,-0.04,0.94,4.09,7.39,3.66
C,0.05,0.02,0.89,3.54,2.81,3.60
C,0.08,0.03,0.89,-0.55,-4.15,2.69
C,0.10,0.05,0.97,0.55,-8.30,2.26
C,0.11,-0.04,0.93,1.46,-7.75,-4.27
C,0.14,-0.04,0.95,0.06,-6.29,1.59
C,0.14,0.01,1.04,-0.37,-13.12,0.92
C,0.15,-0.01,0.96,2.26,-3.60,-0.31
C,0.12,-0.02,1.05,1.77,-10.86,-2.08
C,0.11,-0.01,0.93,4.15,-2.01,-2.87
C,0.11,-0.06,1.00,-1.10,-8.24,-3.48
C,0.12,0.04,1.00,0.31,-5.31,-0.67
C,0.11,-0.02,0.97,1.77,-1.04,-7.08
C,0.11,-0.07,0.97,2.87,-5.25,-8.79
C,0.12,-0.07,0.98,1.71,-5.80,-3.36
